question,answer,movie_name
呃 ， 呃 ， 等等,是,Aloners
是,先生 ， 我 沒 去 陌生 的 地方 。,Aloners
哦 ， 放手 吧,嘿 讓 我 問,Aloners
嘿 讓 我 問,你 到底 對 我 做 甚麼 ？,Aloners
燈 已經 亮 了,什麼 ， 護 手霜 ？,Aloners
什麼 ， 護 手霜 ？,哦 ， 好 吧 … …,Aloners
我 想 他 要 下班 了 。,是 咩 ？ ， 鳥叫聲,Aloners
對,我 在 網 上 看 了,Aloners
如果 你 用 火柴 點燃 ， 它 的 味道 會 有所 不同 。,但是 當 我 這樣 做 時 ， 表演 迥異 。,Aloners
但是 當 我 這樣 做 時 ， 表演 迥異 。,隔壁 男人 點燃 火柴,Aloners
門鎖 操作音 ， 休息 一下,音頻 從 電視 中 傳出,Aloners
音頻 從 電視 中 傳出,門鎖 操作 音,Aloners
砰砰 砰,有 意義 的 音效,Aloners
深呼吸,音頻 從 電視 中 傳出,Aloners
鼠標 操作音 ， 來電 鈴聲,10   月  26  日,Aloners
10   月  26  日,9:16,Aloners
"Bambu  咖啡   4,000   韓元   一 次 性 付款",10月 26日,Aloners
意大利 麵包 ， 1萬4千 韓元 ， 一 次 性 支付,10   月  27  日   23:30 ， 手機 震動 聲,Aloners
一千二百 韓元 ， 一 次 性 支付,10   月  28  日  13:45 ， 手機 震動 不停,Aloners
10   月  28  日  13:45 ， 手機 震動 不停,"綜合 交通卡 支付 ， 6,000 韓元 ， 一 次 性 支付",Aloners
來電 鈴聲,嗯 ， 吉娜 ， 你 在 忙 嗎 ？,Aloners
嗯 ， 吉娜 ， 你 在 忙 嗎 ？,發生 了 什麼 事 ？,Aloners
發生 了 什麼 事 ？,你 吃 午飯 了 嗎 ？,Aloners
你 吃 午飯 了 嗎 ？,你 叫 什麼 ？,Aloners
你 叫 什麼 ？,啊,Aloners
啊,伙計 ， 我 每 個 星期天 都 去 教堂 。,Aloners
笑   哇 ， 真 的 咩 ？,是 的 ， 你 也 去 教堂 。,Aloners
是 的 ， 你 也 去 教堂 。,所有 的 人 都 很 好 很 好 ， 我 愛 他們,Aloners
米飯 也 絕對 好吃 。,嘿 ， 當 我 開始 去 這 個 教堂 時 ， 我 感到 很 舒服 。,Aloners
嘿 ， 當 我 開始 去 這 個 教堂 時 ， 我 感到 很 舒服 。,牧師 下 週 會 來 我 家,Aloners
哦 ， 天哪 ， 我 不會 做飯,我 請客 ...,Aloners
父親 ， 您 有事 嗎 ？,哦 ， 是 的 ， 是 的,Aloners
我 ， 你 叫 我 幹什麼,是 的,Aloners
是 的,這 個 星期六,Aloners
這 個 星期六,我 決定 見 榮格 律師 。,Aloners
我 決定 見 榮格 律師 。,是 的,Aloners
是 的,呃 ， 我 應該 2點 到 家,Aloners
你 一定 要 來,是 的 ， 我 會 退出 。,Aloners
嘆,拍手 加油 加油 加油 注意 ！,Aloners
拍手 加油 加油 加油 注意 ！,我 上 個 月 拿到 了 成績 。,Aloners
人們 鼓掌,大家 看,Aloners
大家 看,上 個 月 因為 母親 的 葬禮 請 了 兩 天 假 的 人 也 是 第一 個 。,Aloners
上 個 月 因為 母親 的 葬禮 請 了 兩 天 假 的 人 也 是 第一 個 。,什麼 ， 你 看到 這 個 有 什麼 感覺 嗎 ？ 呃 ？,Aloners
什麼 ， 你 看到 這 個 有 什麼 感覺 嗎 ？ 呃 ？,是 嗎 ？,Aloners
當 他 說 他 接到 一 個 電話 時 ， 超過  3  分鐘 。,呃 ， 你 聽到 了 嗎 ？,Aloners
呃 ， 你 聽到 了 嗎 ？,是 的 ， 你 能 告訴 我 我 一 天 打 多少 電話 嗎 ？ ， 這裡 ？,Aloners
是 的 ， 你 能 告訴 我 我 一 天 打 多少 電話 嗎 ？ ， 這裡 ？,領隊 啊   各位,Aloners
領隊 啊   各位,那 ， 甚麼,Aloners
人工 智能 將 取代 輔導員,晚安 吧 ？,Aloners
晚安 吧 ？,拍手   從 這 個 意義 上 說 ， 你 今天 也 打,Aloners
是 的,"領隊  吉娜 ,   吃 午飯   看 著 我 。",Aloners
手機 里 傳來 聲音,她 年輕 了 很多 比 我 想像 的 要好 。,Aloners
